id,Fault Name,Slip Rate (mm/yr),Dip Angle (deg),Upper Depth (km),Lower Depth (km),"geometry (lon,lat)"
62,"Puysegur, 30km, 50% coupling; col: 14, row: 5",26.47760772705078,45.75282287597656,42.14520263671875,52.8902473449707,166.63072204589844,-45.994384765625,42.14520263671875,166.61036682128906,-46.12823486328125,42.14520263671875
63,"Puysegur, 30km, 50% coupling; col: 14, row: 6",26.372644424438477,54.72993850708008,53.25849533081055,65.50508880615234,166.73753356933594,-46.036956787109375,53.25849533081055,166.73428344726562,-46.17155456542969,53.25849533081055
64,"Puysegur, 30km, 50% coupling; col: 15, row: 0",27.14141845703125,15.16496753692627,7.710133075714111,11.634119033813477,165.7992706298828,-45.79563903808594,7.710133075714111,165.67906188964844,-45.90065002441406,7.710133075714111
65,"Puysegur, 30km, 50% coupling; col: 15, row: 1",26.9885311126709,15.726366996765137,11.18714427947998,15.252795219421387,165.96083068847656,-45.858463287353516,11.18714427947998,165.84327697753906,-45.96503448486328,11.18714427947998
66,"Puysegur, 30km, 50% coupling; col: 15, row: 2",26.833139419555664,19.020660400390625,15.297266006469727,20.185901641845703,166.10897827148438,-45.9221305847168,15.297266006469727,166.0091552734375,-46.037261962890625,15.297266006469727
67,"Puysegur, 30km, 50% coupling; col: 15, row: 3",26.68320655822754,26.27191162109375,20.267980575561523,26.907455444335938,166.25816345214844,-45.98377990722656,20.267980575561523,166.17108154296875,-46.103885650634766,20.267980575561523
68,"Puysegur, 30km, 50% coupling; col: 15, row: 4",26.541818618774414,32.42345428466797,27.77089500427246,35.813480377197266,166.3890838623047,-46.04232406616211,27.77089500427246,166.32557678222656,-46.16943359375,27.77089500427246
69,"Puysegur, 30km, 50% coupling; col: 15, row: 5",26.40281105041504,35.481422424316406,36.04568099975586,44.75226593017578,166.51295471191406,-46.101070404052734,36.04568099975586,166.47996520996094,-46.23368835449219,36.04568099975586
70,"Puysegur, 30km, 50% coupling; col: 15, row: 6",26.275575637817383,42.7906608581543,45.34584045410156,55.535667419433594,166.6348419189453,-46.154232025146484,45.34584045410156,166.62525939941406,-46.28866958618164,45.34584045410156
71,"Puysegur, 30km, 50% coupling; col: 15, row: 7",26.160842895507812,52.44353103637695,55.484619140625,67.37591552734375,166.75608825683594,-46.20027160644531,55.484619140625,166.75975036621094,-46.33486557006836,55.484619140625
72,"Puysegur, 30km, 50% coupling; col: 16, row: 0",27.11594581604004,13.580056190490723,6.792259693145752,10.314316749572754,165.62254333496094,-45.88227462768555,6.792259693145752,165.50473022460938,-45.988677978515625,6.792259693145752
73,"Puysegur, 30km, 50% coupling; col: 16, row: 1",26.961883544921875,14.612534523010254,10.095632553100586,13.87984848022461,165.78485107421875,-45.94556427001953,10.095632553100586,165.66943359375,-46.0533332824707,10.095632553100586
74,"Puysegur, 30km, 50% coupling; col: 16, row: 2",26.806285858154297,16.23255729675293,13.978936195373535,18.171987533569336,165.93698120117188,-46.00932312011719,13.978936195373535,165.8352508544922,-46.12367630004883,13.978936195373535
75,"Puysegur, 30km, 50% coupling; col: 16, row: 3",26.651269912719727,21.32394027709961,17.91364097595215,23.368247985839844,166.09091186523438,-46.073028564453125,17.91364097595215,166.00169372558594,-46.19239807128906,17.91364097595215
76,"Puysegur, 30km, 50% coupling; col: 16, row: 4",26.501197814941406,26.280305862426758,23.604454040527344,30.245899200439453,166.2361602783203,-46.134925842285156,23.604454040527344,166.1641082763672,-46.259822845458984,23.604454040527344
77,"Puysegur, 30km, 50% coupling; col: 16, row: 5",26.353530883789062,29.334280014038086,30.16518783569336,37.51375198364258,166.37538146972656,-46.196449279785156,30.16518783569336,166.32554626464844,-46.326499938964844,30.16518783569336
78,"Puysegur, 30km, 50% coupling; col: 16, row: 6",26.20362091064453,31.84698486328125,36.346858978271484,44.26164627075195,166.51806640625,-46.25941848754883,36.346858978271484,166.49118041992188,-46.392704010009766,36.346858978271484
79,"Puysegur, 30km, 50% coupling; col: 16, row: 7",26.0640811920166,39.75468444824219,43.97333908081055,53.56586456298828,166.65692138671875,-46.317161560058594,43.97333908081055,166.64939880371094,-46.451663970947266,43.97333908081055
80,"Puysegur, 30km, 50% coupling; col: 16, row: 8",25.927837371826172,50.293609619140625,51.77876663208008,63.31869125366211,166.80213928222656,-46.3717155456543,51.77876663208008,166.80776977539062,-46.50627899169922,51.77876663208008
81,"Puysegur, 30km, 50% coupling; col: 17, row: 0",27.069915771484375,11.876739501953125,6.101146221160889,9.188249588012695,165.46072387695312,-45.97768020629883,6.101146221160889,165.3526153564453,-46.089046478271484,6.101146221160889
82,"Puysegur, 30km, 50% coupling; col: 17, row: 1",26.914573669433594,13.578314781188965,9.032949447631836,12.554563522338867,165.62625122070312,-46.04148864746094,9.032949447631836,165.51828002929688,-46.15300369262695,9.032949447631836
83,"Puysegur, 30km, 50% coupling; col: 17, row: 2",26.75714111328125,15.219914436340332,12.682729721069336,16.62059783935547,165.77896118164062,-46.106197357177734,12.682729721069336,165.685546875,-46.22397994995117,12.682729721069336
84,"Puysegur, 30km, 50% coupling; col: 17, row: 3",26.603120803833008,18.61663818359375,16.42589569091797,21.214412689208984,165.94113159179688,-46.16926956176758,16.42589569091797,165.85093688964844,-46.2883186340332,16.42589569091797
85,"Puysegur, 30km, 50% coupling; col: 17, row: 4",26.449420928955078,22.046932220458984,20.978221893310547,26.60871124267578,166.09457397460938,-46.232418060302734,20.978221893310547,166.0164031982422,-46.35554885864258,20.978221893310547
86,"Puysegur, 30km, 50% coupling; col: 17, row: 5",26.29848289489746,25.561906814575195,26.782712936401367,33.2550048828125,166.23907470703125,-46.2949333190918,26.782712936401367,166.18011474609375,-46.42314147949219,26.782712936401367
87,"Puysegur, 30km, 50% coupling; col: 17, row: 6",26.150043487548828,26.961992263793945,33.19779586791992,39.998783111572266,166.3811492919922,-46.3569450378418,33.19779586791992,166.34234619140625,-46.48880386352539,33.19779586791992
88,"Puysegur, 30km, 50% coupling; col: 17, row: 7",25.995433807373047,29.843570709228516,38.15177536010742,45.61628341674805,166.53237915039062,-46.421566009521484,38.15177536010742,166.51309204101562,-46.55548858642578,38.15177536010742
89,"Puysegur, 30km, 50% coupling; col: 17, row: 8",25.854877471923828,38.003883361816406,45.51347732543945,54.749202728271484,166.6749267578125,-46.479339599609375,45.51347732543945,166.67225646972656,-46.613929748535156,45.51347732543945
90,"Puysegur, 30km, 50% coupling; col: 17, row: 9",25.721147537231445,49.0219612121582,53.475250244140625,64.79966735839844,166.82095336914062,-46.53215026855469,53.475250244140625,166.82736206054688,-46.66669845581055,53.475250244140625
